timestep,walltime_sec,ep_rew_mean,ep_len_mean
3706880,548.60,4201.1036,729.02
3727360,553.82,4376.8231,758.00
3747840,560.29,4379.3163,758.56
3768320,566.86,4410.6373,763.65
3788800,573.31,4556.5593,786.12
3809280,580.10,4526.4020,779.86
3829760,586.71,4570.0111,784.49
3850240,593.31,4590.2090,784.34
3870720,600.81,4590.0670,784.34
3891200,607.16,4630.0033,788.74
3911680,613.36,4623.2315,788.44
3932160,619.40,4640.5907,789.71
3952640,625.39,4652.3333,791.36
3973120,631.65,4657.6151,790.03
3993600,637.66,4686.8618,792.70
4014080,643.87,4695.0989,792.70
4034560,650.20,4714.7668,794.17
4055040,656.19,4706.4223,791.32
4075520,662.18,4663.6748,784.69
4096000,668.19,4662.0678,784.69
4116480,674.40,4670.9529,783.64
4136960,680.31,4734.1371,792.04
4157440,685.99,4783.5322,798.67
4177920,691.68,4812.5977,799.75
4198400,697.49,4832.4326,799.75
4218880,703.63,4836.0577,800.00
4239360,709.66,4845.9133,800.00
4259840,715.74,4848.7248,800.00
4280320,721.92,4864.5049,800.00
4300800,727.99,4886.6352,800.00
4321280,734.41,4920.3567,800.00
4341760,740.69,4955.0547,800.00
4362240,746.98,4997.9347,800.00
4382720,753.25,5046.4513,800.00
4403200,759.50,5079.9340,800.00
4423680,766.39,5094.8561,800.00
4444160,772.93,5084.6730,800.00
4464640,779.34,5093.8629,800.00
4485120,785.66,5120.2915,800.00
4505600,792.14,5146.4039,800.00
4526080,799.04,5174.9471,800.00
4546560,805.52,5202.4825,800.00
4567040,811.99,5231.4660,800.00
4587520,818.61,5262.0359,800.00
4608000,825.04,5282.5554,800.00
4628480,831.79,5310.6814,800.00
4648960,838.14,5342.6819,800.00
4669440,844.58,5373.4008,800.00
4689920,851.07,5401.8597,800.00
4710400,857.29,5419.9777,800.00
4730880,863.85,5407.7647,800.00
4751360,870.18,5441.9929,800.00
4771840,876.51,5479.6863,800.00
4792320,882.78,5444.4773,800.00
4812800,889.04,5483.9637,800.00
4833280,895.62,5470.0570,800.00
4853760,901.84,5475.4901,800.00
4874240,908.10,5575.7946,800.00
4894720,914.34,5617.1492,800.00
4915200,920.60,5689.9180,800.00
4935680,927.12,5722.0752,800.00
4956160,933.40,5675.0630,800.00
4976640,939.84,5643.6824,800.00
4997120,946.10,5615.4804,800.00
5017600,949.76,5642.0092,800.00
5038080,953.46,5653.3080,800.00
5058560,956.89,5677.0727,800.00
5079040,960.32,5705.5838,800.00
5099520,963.84,5698.8553,800.00
5120000,967.35,5773.7540,800.00
5140480,971.02,5803.5931,800.00
5160960,974.55,5834.8351,800.00
5181440,978.07,5877.1078,800.00
5201920,981.57,5853.9958,800.00
5222400,985.12,5869.5764,800.00
5242880,988.84,5862.3630,800.00
5263360,992.38,5910.4983,800.00
5283840,995.91,5929.1583,800.00
5304320,999.49,5966.0011,800.00
5324800,1003.07,5987.3387,800.00
5345280,1006.72,6012.1103,800.00
5365760,1010.42,6021.0962,800.00
5386240,1014.02,6028.5017,800.00
5406720,1017.60,6047.5420,800.00
5427200,1021.24,6021.5561,800.00
5447680,1025.18,6054.1315,800.00
5468160,1028.88,6063.9400,800.00
5488640,1032.54,6082.2817,800.00
5509120,1036.31,6093.1268,800.00
5529600,1040.07,6070.3466,800.00
5550080,1043.96,6105.6597,800.00
5570560,1047.65,6114.3543,800.00
5591040,1051.40,6108.3205,800.00
5611520,1055.20,6138.5378,800.00
5632000,1058.86,6116.8891,800.00
5652480,1062.63,6111.8702,800.00
5672960,1066.42,6130.5859,800.00
5693440,1070.19,6149.4321,800.00
5713920,1073.90,6180.5114,800.00
5734400,1077.62,6190.9451,800.00
5754880,1081.30,6234.9068,800.00
5775360,1084.87,6231.8008,800.00
5795840,1088.50,6235.3607,800.00
5816320,1092.12,6253.0865,800.00
5836800,1095.78,6211.1091,800.00
5857280,1099.55,6168.7923,800.00
5877760,1103.21,6181.9585,800.00
5898240,1107.19,6201.7079,800.00
5918720,1112.78,6270.1112,800.00
5939200,1117.79,6311.6275,800.00
5959680,1122.70,6298.4059,800.00
5980160,1127.31,6286.8095,800.00
6000640,1131.78,6248.7041,800.00
6021120,1136.22,6263.4894,800.00
6041600,1140.08,6251.8837,800.00
6062080,1144.05,6277.5337,800.00
6082560,1147.85,6281.7497,800.00
6103040,1151.73,6296.7309,800.00
6123520,1156.64,6337.1286,800.00
6144000,1161.27,6360.8348,800.00
6164480,1166.38,6374.7376,800.00
6184960,1171.61,6356.7577,800.00
6205440,1176.04,6358.9719,800.00
6225920,1180.87,6334.1000,800.00
6246400,1185.16,6341.6005,800.00
6266880,1189.38,6383.6143,800.00
6287360,1193.43,6378.6878,800.00
6307840,1198.07,6416.2106,800.00
6328320,1203.62,6434.1440,800.00
6348800,1208.73,6434.2113,800.00
6369280,1213.67,6452.0155,800.00
6389760,1217.57,6452.9934,800.00
6410240,1221.29,6453.7094,800.00
6430720,1225.19,6441.6396,800.00
6451200,1229.20,6438.4045,800.00
6471680,1233.38,6420.5062,800.00
6492160,1237.24,6417.3995,800.00
6512640,1240.94,6423.9310,800.00
6533120,1244.46,6443.5786,800.00
6553600,1248.08,6479.4898,800.00
6574080,1251.96,6523.3615,800.00
6594560,1255.59,6536.3421,800.00
6615040,1259.13,6540.8854,800.00
6635520,1262.67,6547.6498,800.00
6656000,1266.27,6555.7163,800.00
6676480,1269.97,6539.3951,800.00
6696960,1273.45,6572.4402,800.00
6717440,1276.92,6571.0691,800.00
6737920,1280.47,6580.9369,800.00
6758400,1283.75,6599.4105,800.00
6778880,1287.14,6603.7043,800.00
6799360,1290.47,6601.4639,800.00
6819840,1293.83,6601.7856,800.00
6840320,1297.14,6592.7448,800.00
6860800,1300.57,6591.6432,800.00
6881280,1304.22,6595.8334,800.00
6901760,1307.64,6613.7503,800.00
6922240,1310.94,6622.9289,800.00
6942720,1314.18,6637.3319,800.00
6963200,1317.74,6644.4730,800.00
