t,mode,armed,roll,pitch,yaw,thrust_pct,z,tilt,policy_thrust_pct,vbat
1.505,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.654,0.0,0.0,3.70
1.525,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.654,0.0,0.0,3.70
1.548,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.567,0.0,0.0,3.70
1.572,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.562,0.0,0.0,3.70
1.597,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.562,0.0,0.0,3.70
1.622,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.562,0.0,0.0,3.70
1.648,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.562,0.0,0.0,3.70
1.671,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.528,0.0,0.0,3.70
1.691,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.528,0.0,0.0,3.70
1.711,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.528,0.0,0.0,3.70
1.733,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.528,0.0,0.0,3.70
1.758,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.528,0.0,0.0,3.70
1.783,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.528,0.0,0.0,3.70
1.808,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.528,0.0,0.0,3.70
1.828,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.528,0.0,0.0,3.70
1.852,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.510,0.0,0.0,3.70
1.877,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.510,0.0,0.0,3.70
1.899,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.510,0.0,0.0,3.70
1.921,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.510,0.0,0.0,3.70
1.942,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.510,0.0,0.0,3.70
1.967,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.510,0.0,0.0,3.70
1.992,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.510,0.0,0.0,3.70
2.015,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.510,0.0,0.0,3.70
2.037,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.510,0.0,0.0,3.70
2.059,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.205,0.0,0.0,3.70
2.079,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.184,0.0,0.0,3.70
2.104,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.184,0.0,0.0,3.70
2.126,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.184,0.0,0.0,3.70
2.151,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.184,0.0,0.0,3.70
2.176,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.138,0.0,0.0,3.70
2.201,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.138,0.0,0.0,3.70
2.222,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.138,0.0,0.0,3.70
2.247,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.138,0.0,0.0,3.70
2.272,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.138,0.0,0.0,3.70
2.297,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.138,0.0,0.0,3.70
2.318,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.138,0.0,0.0,3.70
2.342,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,51.138,0.0,0.0,3.70
2.367,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.809,0.0,0.0,3.70
2.391,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.809,0.0,0.0,3.70
2.416,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.809,0.0,0.0,3.70
2.442,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.809,0.0,0.0,3.70
2.467,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.809,0.0,0.0,3.70
2.491,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.809,0.0,0.0,3.70
2.516,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.809,0.0,0.0,3.70
2.541,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.809,0.0,0.0,3.70
2.566,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.640,0.0,0.0,3.70
2.591,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.647,0.0,0.0,3.70
2.616,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.647,0.0,0.0,3.70
2.640,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.647,0.0,0.0,3.70
2.663,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.647,0.0,0.0,3.70
2.684,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.677,0.0,0.0,3.70
2.709,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.677,0.0,0.0,3.70
2.734,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.677,0.0,0.0,3.70
2.757,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.677,0.0,0.0,3.70
2.780,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.677,0.0,0.0,3.70
2.805,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.677,0.0,0.0,3.70
2.827,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.677,0.0,0.0,3.70
2.852,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.677,0.0,0.0,3.70
2.875,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.822,0.0,0.0,3.70
2.896,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.822,0.0,0.0,3.70
