timestep,walltime_sec,ep_rew_mean,ep_len_mean
3379200,807.64,1001.2201,372.63
3399680,812.84,971.5474,369.62
3420160,817.81,1025.3501,376.66
3440640,823.35,1083.5424,376.11
3461120,828.80,1059.3839,372.39
3481600,834.36,978.8883,355.55
3502080,839.91,955.3766,363.94
3522560,844.99,1090.1389,393.00
3543040,850.09,1063.7628,370.73
3563520,854.92,1043.0821,362.70
3584000,859.77,1142.0501,403.45
3604480,866.50,1026.9051,389.28
3624960,871.39,920.3158,348.20
3645440,876.44,953.2503,352.49
3665920,881.24,993.2588,379.86
3686400,886.25,1005.1177,376.22
3706880,891.46,1076.8669,386.78
3727360,896.43,1103.2720,405.46
3747840,901.38,1015.4475,384.58
3768320,906.27,1013.8096,365.80
3788800,911.17,1105.0126,384.79
3809280,916.32,1087.5324,371.62
3829760,921.20,1069.4634,366.52
3850240,926.10,1064.9319,376.07
3870720,931.04,1114.9448,394.30
3891200,936.02,1155.0585,392.82
3911680,940.97,1132.4530,374.06
3932160,945.90,1141.5201,378.03
3952640,950.79,1130.6803,380.62
3973120,955.76,1168.1628,410.52
3993600,960.64,1103.2259,397.56
4014080,965.80,1067.9764,383.20
4034560,970.67,1075.9281,383.05
4055040,975.69,1119.6312,391.96
4075520,980.64,1125.1045,394.19
4096000,985.51,1200.3847,407.06
4116480,992.40,1172.0194,392.08
4136960,997.40,1173.8828,395.44
4157440,1002.42,1200.3421,399.13
4177920,1007.42,1114.3313,378.60
4198400,1012.53,1120.6169,385.76
4218880,1017.67,1149.1482,397.02
4239360,1022.51,1075.3877,379.15
4259840,1027.58,1259.2737,419.79
4280320,1032.45,1304.1044,425.32
4300800,1037.66,1239.3605,422.98
4321280,1042.72,1216.4044,412.52
4341760,1047.68,1306.6286,434.45
4362240,1052.70,1224.2612,422.96
4382720,1057.49,1212.4091,406.18
4403200,1062.47,1279.6967,423.74
4423680,1067.63,1114.7066,378.87
4444160,1072.66,1130.8845,381.99
4464640,1077.61,1254.2600,419.43
4485120,1082.72,1167.6593,387.50
4505600,1087.90,1191.6292,404.49
4526080,1093.31,1220.7877,421.57
4546560,1098.20,1136.0141,396.15
4567040,1103.16,1142.1912,387.43
4587520,1107.98,1246.1110,400.94
4608000,1112.75,1212.6356,404.21
4628480,1119.23,1186.5476,408.50
